Section,Item,Statement,Guidance,Importance,Score,Response: ISO 27001,Response: DEA Security,Response: DEA Capability,
Information governance,1.5.6.,You must give each user of the TRE a unique logon with changes to any records strictly controlled.,"The unique identifier and all associated records for a user should be traceable across the entire TRE.
This will include training records, affiliations, contract agreements and ethics approvals where required.",Mandatory,2,,"F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. 

F-8: Processes are in place to ensure that default passwords are changed, and to control the use of shared passwords. Evidence of default passwords being changed. Rules regarding the sharing of passwords. ",,
Information governance,1.6.1.,You must determine what training is relevant for all roles within the TRE organisation.,"This may include, for instance, cyber security training, GDPR training, and higher level training for system operators.
Specialised roles are likely to need more tailored training.
Identification of these specialities should be done through a systematic training needs analysis.
Specific training may also be required based on the data or information asset owner such as GCP.",Mandatory,2,"A6.2: Terms and conditions of employment. The employment contractual agreements shall state the personnel’s and the organization’s responsibilities for information security.
A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)","C-4: Information security is incorporated within a formal training programme, including as part of induction and with a documented and effective refresher programme. Evidence of the training programme, including content, slides, screenshots, training plans, induction training processes, and tracking of refresher training.  
C-5: Staff in security related specialist roles, or in roles with potentially significant impact on information security, have been assessed to see whether they should receive additional information security training relevant to their roles, and where appropriate that training has been provided. Evidence of training needs analysis, and of the content of specialist training. Evidence that specialist training is tracked and where necessary refreshed on a regular basis.
C-6: Good information security practices are promoted across the organisation. Evidence of programmes or activities to raise awareness of information security across the organisation. ","C.3.1: Demonstrate that staff have the relevant skills and/or experience, security clearance, training, and support to provision all functions of the processor in line with relevant policies. Evidence of ongoing assessment and development of staff.",
Information governance,1.6.2.,You must ensure that relevant training is available for all roles within the TRE organisation.,"All TRE organisation members need to complete all relevant training and keep their training current.
You may need to provide help or guidance to enable them to do so.
Details of what training is needed will have been determined above.",Mandatory,2,"A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)","C-4: Information security is incorporated within a formal training programme, including as part of induction and with a documented and effective refresher programme. Evidence of the training programme, including content, slides, screenshots, training plans, induction training processes, and tracking of refresher training.  
C-5: Staff in security related specialist roles, or in roles with potentially significant impact on information security, have been assessed to see whether they should receive additional information security training relevant to their roles, and where appropriate that training has been provided. Evidence of training needs analysis, and of the content of specialist training. Evidence that specialist training is tracked and where necessary refreshed on a regular basis.
C-6: Good information security practices are promoted across the organisation. Evidence of programmes or activities to raise awareness of information security across the organisation. ","C.3.1: Demonstrate that staff have the relevant skills and/or experience, security clearance, training, and support to provision all functions of the processor in line with relevant policies. Evidence of ongoing assessment and development of staff.",
Information governance,1.6.3.,You must provide repeat or updated training where necessary to account for changes in competency requirements.,"Training is not a one-off event.
Electronic reminders for refresher training should be considered.
Ideally, training should remain relevant and so policies and processes should enable people to demonstrate competency rather than unnecessarily repeating training.",Mandatory,2,"A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)","C-4: Information security is incorporated within a formal training programme, including as part of induction and with a documented and effective refresher programme. Evidence of the training programme, including content, slides, screenshots, training plans, induction training processes, and tracking of refresher training.  
C-5: Staff in security related specialist roles, or in roles with potentially significant impact on information security, have been assessed to see whether they should receive additional information security training relevant to their roles, and where appropriate that training has been provided. Evidence of training needs analysis, and of the content of specialist training. Evidence that specialist training is tracked and where necessary refreshed on a regular basis.
C-6: Good information security practices are promoted across the organisation. Evidence of programmes or activities to raise awareness of information security across the organisation. ",,
Information governance,1.6.4.,You must maintain accurate training records that are directly tied to the role and access levels within the TRE.,"Training records should be tied to a user record and carefully maintained.
Maintaining training records enables you to ensure all people have completed the required training and that repeat training happens regularly.",Mandatory,2,"A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)","C-4: Information security is incorporated within a formal training programme, including as part of induction and with a documented and effective refresher programme. Evidence of the training programme, including content, slides, screenshots, training plans, induction training processes, and tracking of refresher training.  
C-5: Staff in security related specialist roles, or in roles with potentially significant impact on information security, have been assessed to see whether they should receive additional information security training relevant to their roles, and where appropriate that training has been provided. Evidence of training needs analysis, and of the content of specialist training. Evidence that specialist training is tracked and where necessary refreshed on a regular basis.
C-6: Good information security practices are promoted across the organisation. Evidence of programmes or activities to raise awareness of information security across the organisation. ",,
Information governance,1.6.5.,You should accept proof of relevant training certifications from trusted third parties.,You might choose to trust certifications provided by known training providers or your institution’s partner organisations.,Recommended,2,"A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)","C-4: Information security is incorporated within a formal training programme, including as part of induction and with a documented and effective refresher programme. Evidence of the training programme, including content, slides, screenshots, training plans, induction training processes, and tracking of refresher training.  
C-5: Staff in security related specialist roles, or in roles with potentially significant impact on information security, have been assessed to see whether they should receive additional information security training relevant to their roles, and where appropriate that training has been provided. Evidence of training needs analysis, and of the content of specialist training. Evidence that specialist training is tracked and where necessary refreshed on a regular basis.
C-6: Good information security practices are promoted across the organisation. Evidence of programmes or activities to raise awareness of information security across the organisation. ","C.1.4: Evidenced processes for managing accredited researchers in the processor’s environment throughout the researcher journey.
 
 C.3.1: Demonstrate that staff have the relevant skills and/or experience, security clearance, training, and support to provision all functions of the processor in line with relevant policies. Evidence of ongoing assessment and development of staff.
 
 C.5.3: The training course offered to researchers is recognised by the accrediting body and processors provide evidence that it is being regularly reviewed.",
Information governance,1.6.6.,You could have a training platform capable of delivering online training in a variety of formats.,"This could be a simple content delivery platform or a more comprehensive LMS platform.
It could also include a range of multimedia delivery formats, and accessible training modules for those with access requirements.",Optional,1,,,,
Information governance,1.6.7.,You could implement a learning management system (LMS) to manage courses and deliver training as required.,Where possible an LMS should support a variety of course content and testing.,Optional,2,"A.6.3 – Information security awareness, education and training

Persons of the organisation and relevant interested parties shall receive appropriate information security awareness, education and training and shall be updated as necessary to respond to changes in information security requirements relevant to their job function",,,
Information governance,1.6.8.,"You could ensure that any courses you use are available in standard, transferable formats.","Support for standard formats such as SCORM allows courses to be shared between providers.
This could help facilitate standardisation of training provision for TRE users across organisations.",Optional,0,,,,
Information governance,1.6.9.,You could keep historical copies of courses in order to demonstrate competency at a given point in time.,"Information asset owners and regulators may be required to audit historical records, *e.g.* for clinical trials.
It may be necessary to retain copies of superseded training along with versions of certifications within the training record.",Optional,2,"A6.3: Information security awareness, education and training. Personnel of the organization and relevant interested parties shall receive appropriate information security awareness, education and training and regular updates of the organization's information security policy, topic-specific policies and procedures, as relevant for their job function.
Clauses 7.2 (Competence) and 7.3 (Awareness)","C-4: Information security is incorporated within a formal training programme, including as part of induction and with a documented and effective refresher programme. Evidence of the training programme, including content, slides, screenshots, training plans, induction training processes, and tracking of refresher training.  
C-5: Staff in security related specialist roles, or in roles with potentially significant impact on information security, have been assessed to see whether they should receive additional information security training relevant to their roles, and where appropriate that training has been provided. Evidence of training needs analysis, and of the content of specialist training. Evidence that specialist training is tracked and where necessary refreshed on a regular basis.
C-6: Good information security practices are promoted across the organisation. Evidence of programmes or activities to raise awareness of information security across the organisation. ","Not explicitly covered, but relevant controls include:
 
 C.3.1: Demonstrate that staff have the relevant skills and/or experience, security clearance, training, and support to provision all functions of the processor in line with relevant policies. Evidence of ongoing assessment and development of staff.
 
 Providing and managing training (for both staff and researchers) also partly covered by several other controls.",
Computing technology and Information Security,2.1.1.,You must not allow users to copy data out of your TRE via the system clipboard.,"A TRE user must not be able to copy sensitive data out of a workspace using the system clipboard.
A TRE may allow user to paste text into a workspace.
This might not be relevant to your TRE, for example if your user interface does not have a clipboard.",Mandatory,2,"A8.12: Data leakage prevention. Data leakage prevention measures shall be applied to systems, networks and any other devices that process, store or transmit sensitive information.",,"Implicitly covered by 
 C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code in the environment.",
Computing technology and Information Security,2.1.2.,Your TRE workspace should provide an environment familiar to your users.,"This may take the form of a virtual Windows or Linux desktops, non-desktop interfaces such as JupyterLab and other web applications, or a terminal.
Bespoke TRE-specific software should be avoided when widely used alternatives already exist.",Recommended,2,,,,
Computing technology and Information Security,2.1.3.,A TRE could restrict data access from data consumers entirely and provide an interface for submitting code.,"For example, you might use a system where users submit jobs that run over the data and return results without allowing direct data access.",Optional,2,,,"Partly covered by:
 C.2.3. Clear procedures and records managing data and code brought in by 
 researchers.",
Computing technology and Information Security,2.1.4.,Your TRE should be accessed via a user interface accessible using commonly available applications.,"TREs which allow users to connect from their own devices should not require the installation of any bespoke TRE application on the user’s device.
In practice a web browser is the most common way to achieve this.",Recommended,2,,,,
Computing technology and Information Security,2.1.5.,Your TRE must provide clear guidance on how to use software tools and work with data in the TRE.,"TREs that provide a virtual desktop environment for data consumers to work in should provide documentation detailing the available tools.
TREs where the analysis code is developed on the access machine (as oppose to within the TRE) should provide documentation detailing the mechanism by which code is submitted to the TRE.",Mandatory,1,,,"C.1.3: Clearly communicate the available statistical/analytical software in the environment and manage any changes to software and its impact to research.
 
 C.1.6 Record and review any requests for specialist software and code for all projects.
 
 C.4.6. Processor provides access to policies and procedures on how researchers can interact with code repositories in the environment before researchers access the environment.",
Computing technology and Information Security,2.1.6.,"Your TRE should, where possible, automatically apply security related updates for user software.",Reducing the risk of exploitable vulnerabilities in installed software will increase the security of your TRE.,Recommended,2,"A8.15: Logging. Logs that record activities, exceptions, faults and other relevant events shall be produced, stored, protected and analysed.

A8.16: Monitoring Activities. Networks, systems and applications shall be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.

A8.7: Protection against malware. Protection against malware shall be implemented and supported by appropriate user awareness.

A8.8: Management of technical vulnerabilities. Information about technical vulnerabilities of information systems in use shall be obtained, the organisation’s exposure to such vulnerabilities shall be evaluated and appropriate measures shall be taken.

A8.9: Configuration management. Configurations, including security configurations, of hardware, software, services and networks shall be established, documented, implemented, monitored and reviewed.","I-5: Where appropriate, logging and monitoring is in place to record user activities, security events, and to generate evidence. Site visit. Screenshots of logs or of monitoring dashboards. Guidance or comms for staff relating to logging and monitoring. ",,
Computing technology and Information Security,2.1.7.,Your TRE could provide shared services that are accessible to users in the same project.,"This may include shared file storage, databases, collaborative writing, and other web applications.
This must only be shared amongst users within the same project.",Optional,1,,,,
Computing technology and Information Security,2.1.8,Your TRE must ensure that any shared services are only available to users working on the same project.,"Poorly designed shared services could enable the unintended mixing of data between projects.
To prevent this it is necessary that each instance is only shared between users of a single project.",Mandatory,2,,,"Not expliclitly stated, but intention partly covered by 
 C.2.2. Evidenced and appropriate procedures to manage data, metadata, and code in the environment.",
Computing technology and Information Security,2.1.9.,You must mitigate and record any risks introduced by the use in your TRE of software that requires telemetry to function.,"For example, some licenced commercial software must contact an external licensing server at start-up.
You must be confident that only licensing information is sent to this server and that any network connections are secure.",Mandatory,2,,,"Not explicitly mentioned, but possibly implied in:
 
 C.2.3. Clear procedures and records managing data and code brought in by researchers.",
Computing technology and Information Security,2.1.10.,Your TRE must provide software applications that are relevant to working with the data in the TRE.,"The tools provided will depend on the types of data in the TRE, and the expectations of users of the TRE.
For users working in a TRE via a virtual desktop, this may include programming languages such as Python and R, integrated development environments, Jupyter notebooks, office type applications such as word processors and spreadsheets, command line tools, etc.
TREs with non-desktop interfaces should similarly consider carefully which applications are best suited for the data consumers needs when interacting with the data, for example “point and click” GUI tools for querying a database and generating plots of data.
The set of tools should be reviewed regularly to ensure they are up to date.",Mandatory,2,,,"C.1.3: Clearly communicate the available statistical/analytical software in the environment and manage any changes to software and its impact to research.
 
 C.4.6. Processor provides access to policies and procedures on how researchers can interact with code repositories in the environment before researchers access the environment.",
Computing technology and Information Security,2.1.11.,Your TRE should provide tools to encourage best-practice in reproducibly analysing data.,"Reproducibility of analyses improves auditability and accountability of how data has been used, as well as being best-practice in research.
This may include version control software, and tools for developing and running data analysis pipelines.",Recommended,2,,,"C.1.3: Clearly communicate the available statistical/analytical software in the environment and manage any changes to software and its impact to research.
 
 C.4.6. Processor provides access to policies and procedures on how researchers can interact with code repositories in the environment before researchers access the environment.",
Computing technology and Information Security,2.1.12.,Your TRE could provide access to some public software repositories or container registries.,"For example, a TRE may allow direct installation of packages from Python or R repositories, or provide an internal mirror.",Optional,2,,,"C.1.3: Clearly communicate the available statistical/analytical software in the environment and manage any changes to software and its impact to research.
 
 C.1.6. Record and review any requests for specialist software for all projects. 
 
 C.2.3. Clear procedures and records managing data and code brought in by researchers. 
 
 C.4.6. Processor provides access to policies and procedures on how researchers 
 can interact with code repositories in the environment before researchers access 
 the environment.",
Computing technology and Information Security,2.1.13.,Your TRE could tightly control which packages are available.,"For example, a TRE may only allow installation of a pre-defined set of approved packages.
You might also choose to scan for malicious packages and/or go through an approval process before allowing code into the technical environment.",Optional,1,,,"C.1.3: Clearly communicate the available statistical/analytical software in the environment and manage any changes to software and its impact to research.
 
 C.2.3. Clear procedures and records managing data and code brought in by researchers. 
 
 C.4.6. Processor provides access to policies and procedures on how researchers can interact with code repositories in the environment before researchers access 
 the environment.",
Computing technology and Information Security,2.1.14.,Your TRE must maintain segregation of users and data from different projects when using non-standard compute.,"High performance or specialist compute is often shared amongst multiple users.
Users and data must remain segregated at all times.
For example, when using physical compute resources, all sensitive data could be securely wiped before another user is given access to that same node.
In a cloud hosted TRE virtual machines could be destroyed and recreated.",Mandatory,2,A5.3: Segregation of Duties. Conflicting duties and conflicting areas of responsibilities shall be segregated.,,,
Computing technology and Information Security,2.1.15.,Your TRE should be able to provide access to high performance computing or other scalable compute resource if required by users.,"If a TRE supports users conducting computationally intensive research it should provide access to dynamically scalable compute or the equivalent.
For example this may be in the form of a batch scheduler on a HPC cluster, or a dynamically created compute nodes on a cloud platform.",Recommended,2,,,,
Computing technology and Information Security,2.1.16.,Your TRE should be able to provide access to accelerators such as GPUs if required by users.,"GPUs and other accelerators are commonly used in machine learning and other computationally intensive research.
TREs should make it clear to users whether GPUs and other resources are available whilst projects are being assessed.",Recommended,2,,,,
Computing technology and Information Security,2.1.17.,"Your TRE could make data available to data consumers using common database systems such as PostgreSQL, MSSQL or MongoDB.","Databases must be secured and only accessible to users within the same project.
If shared (multi-tenant) database servers are used, database administrators must ensure that the database server enforces segregation of users and databases belonging to different projects.",Optional,0,,,,
Computing technology and Information Security,2.1.18.,Your TRE could integrate with large-scale data analytics tools for working with large datasets.,"For example, Spark and Hadoop can be used for distributed computing across a cluster.
This may be an advantage where a TRE is using an amount of data that is too large for single-machine computing to be practical.",Optional,0,,,,
Computing technology and Information Security,2.2.1.,You must have a documented procedure for deploying infrastructure.,"This might, for instance, be a handbook that is followed or a set of automated scripts.",Mandatory,2,A5.37: Documented operating procedures. Operating procedures for information processing facilities shall be documented and made available to personnel who need them.,"I-1: Operational procedures and responsibilities are implemented to ensure correct and secure operations of systems, services, and infrastructure. Documented SysOp procedures.",,
Computing technology and Information Security,2.2.2.,"You should, where possible, automate any repeatable aspects of your deployment.",This might involve using infrastructure-as-code tools or a series of scripts.,Recommended,1,,,N/A (although implicitly covered by the 'proactiveness' maturity assessment),
Computing technology and Information Security,2.2.3.,You must have a documented procedure for making changes to deployed infrastructure.,"This refers both to changes that might be expected in the course of normal operation and emergency changes that might be needed.
Your change management process may form part of a wider accreditation such as ISO 27001.",Mandatory,2,A8.32: Change management: Changes to information processing facilities and information systems shall be subject to change management procedures.,"K-6: Effective change control practices are utilised in the role out of new or updated software, including the appropriate use of test environments, and the documentation of rollback plans. Copies of change control policies, procedures, or guidance. Copies of rollback plans. Documentation of development, test, live segregation. 

",,
Computing technology and Information Security,2.2.4.,You must test changes before they are used in production.,This might involve a separate development environment or another system for testing.,Mandatory,2,"A8.25: Secure development lifecycle. Rules for the secure development of software and systems shall be established and applied.

A8.29: Security testing in development and acceptance. Security testing processes shall be defined and implemented in the development life cycle.

A8.31: Separation of development, test and production environments. Development, testing and production environments shall be separated and secured.","K-6: Effective change control practices are utilised in the role out of new or updated software, including the appropriate use of test environments, and the documentation of rollback plans. Copies of change control policies, procedures, or guidance. Copies of rollback plans. Documentation of development, test, live segregation. 
",,
Computing technology and Information Security,2.2.5.,You should have a development environment that mirrors your production environment which you use to test infrastructure changes before committing them to production.,"If possible, you should automate application of changes between development and production environments.
Consider the costs and practicality of whether this will work for your situation.",Recommended,0,,,,
Computing technology and Information Security,2.2.6.,You must have a documented procedure for removing infrastructure when it is no longer needed.,Removing unused infrastructure not only reduces costs and management burden but also reduces the attack surface of a TRE and reduces the risk of unaddressed vulnerabilities.,Mandatory,2,"A5.37: Documented operating procedures. Operating procedures for information processing facilities shall be documented and made available to personnel who need them.

A7.10: Storage Media. Storage media shall be managed through their life cycle of acquisition, use, transportation and disposal in accordance with the organization’s classification scheme and handling requirements.","I-1: Operational procedures and responsibilities are implemented to ensure correct and secure operations of systems, services, and infrastructure. Documented SysOp procedures.

E-8: Removeable media is disposed of securely when no longer required, using formal procedures. Relevant policies or procedures, evidence of disposal being tracked and controlled. ",,
Computing technology and Information Security,2.2.7.,You should understand the availability and uptime guarantees of any providers that you rely on.,"For remote TREs this might include your cloud provider(s) and/or data centre operators.
For on-premises TREs, it might be worth using an uninterruptable power supply (UPS) and planning how you would deal with internet outages.",Recommended,0,,,,
Computing technology and Information Security,2.2.8.,You should develop an availability target or statement and share this with your users.,Understanding how and when the TRE might be unavailable will help your projects in planning their work.,Recommended,1,,,"Partly covered by:
 
 C.4.1. Publicly provide information the functions and services provided, including 
 accessibility and performance information regarding these services.",
Computing technology and Information Security,2.2.9.,Your TRE must control and manage all of its network infrastructure in order to protect information in systems and applications.,"Network infrastructure must prevent unauthorised access to resources on the network.
This may include firewalls, network segmentation, and restricting connections to the network.",Mandatory,2,"A8.20: Networks security. Networks and network devices shall be secured, managed and controlled to protect information in systems and applications.

A8.21: Security of network services. Security mechanisms, service levels and service requirements of network services shall be identified, implemented and monitored.",,,
Computing technology and Information Security,2.2.10.,"Your TRE must not allow connectivity between users in different projects, or with access to different datasets.","Connectivity between users in the same project may be allowed, for example to support shared network services within the project.",Mandatory,2,,"F-1: Access to information is controlled, and is granted only to authorised users. Access Control Policy and processes.

F-2: A formal user access provisioning process has been implemented to assign access rights to staff. New start process or procedure. 

F-3: The allocation and use of privileged access rights is restricted and controlled. Privileged Access Rights/Administrator Access policy, procedures, code of conduct, rules. Evidence of the process followed to allocate privileged access. 

F-4: User access rights are reviewed at regular intervals, and where no longer required are removed in a timely fashion. Responsibility for these reviews is assigned to appropriate individuals. Evidence of access reviews or audits. Evidence of responsibility for reviews being appropriately assigned. Evidence of access being removed from staff who no longer require it (i.e. who are leaving the organisation). 

F-5: Access rights are adjusted upon a change of assignment/role. Internal mover process.

F-6: Users are responsible for safeguarding their authentication information. Guidance given to staff around keeping authentication information secret. 

F-7: Where passwords are used for user authentication there are effective and up to date rules in place regarding length, complexity, and periodic password changes. Existing requirements are subject to periodic effectiveness reviews. Password rules or requirements. Evidence of reviews against new best practice recommendations. 

F-8: Processes are in place to ensure that default passwords are changed, and to control the use of shared passwords. Evidence of default passwords being changed. Rules regarding the sharing of passwords. ",,
Computing technology and Information Security,2.2.11.,Your TRE must block outbound connections to the internet by default.,Limited outbound connectivity may be allowed for some services.,Mandatory,2,A8.23: Web Filtering. Access to external websites shall be managed to reduce exposure to malicious content.,,,
Computing technology and Information Security,2.2.12.,You should be able to monitor the network configuration of your TRE to check for misconfigurations and vulnerabilities.,"This may include regular vulnerability scanning, and penetration testing.",Recommended,2,"A8.8: Management of technical vulnerabilities. Information about technical vulnerabilities of information systems in use shall be obtained, the organisation’s exposure to such vulnerabilities shall be evaluated and appropriate measures shall be taken.","K-3: Effective vulnerability scanning and penetration testing practices are in place. Site visit. Screenshots or copies of relevant dashboards, reports, or alerts. Copy of pen test reports. ",,
Computing technology and Information Security,2.2.13.,You should regularly monitor the network configuration of your TRE to check for misconfigurations and vulnerabilities.,This will involve following the monitoring procedure detailed above.,Recommended,2,"A8.16: Monitoring Activities. Networks, systems and applications shall be monitored for anomalous behaviour and appropriate actions taken to evaluate potential information security incidents.","I-5: Where appropriate, logging and monitoring is in place to record user activities, security events, and to generate evidence. Site visit. Screenshots of logs or of monitoring dashboards. Guidance or comms for staff relating to logging and monitoring. ",,
Computing technology and Information Security,2.2.14.,Your TRE must record usage data.,"This may include the number of users, number of projects, the amount of data stored, number of datasets, the number of workspaces, etc.",Mandatory,2,,,"Covered by a combination of 
 C.1.1. Maintain sufficiently detailed records, including any accreditation conditions, of all projects in the processor’s environment
 
 C.1.2. Monitor research taking place in the processor’s environment, identify and report any significant deviation from accredited project conditions.
 
 C.2.10 Auditable systems and practices to ensure that access to proportionate data provided (data minimisation)
 
 C.4.4. Processor maintains clear and consistent records of all service users, 
 including researchers’ accreditation and training.",
Computing technology and Information Security,2.2.15.,"Your TRE should record which datasets are accessed, when and by who.",This helps maintain auditability of how sensitive data has been used.,Recommended,1,,,,
Computing technology and Information Security,2.2.16.,Your TRE should record computational resource usage at the user or aggregate level.,"This is useful for optimising allocation of resources, and managing costs.",Recommended,0,,,,
Computing technology and Information Security,2.3.1.,You must ensure that all projects understand what resources are available and what the associated costs will be before the project starts.,"For on-premises systems this might be related to the available hardware, for cloud-based systems there might be limits on how many instances of a particular resource (*e.g.* GPUs) can be used
Projects should use this information to understand whether the available resources will be sufficient for their requirements.",Mandatory,1,,,"C.4.1. Publicly provide information the functions and services provided, including accessibility and performance information regarding these services.",
Computing technology and Information Security,2.3.2.,You should ensure that the anticipated needs of projects can be satisfied using available resources.,"Note that this does not require you to accept requests for additional resources, but rather that promises made about resource availability before a project starts should be honoured wherever possible.",Recommended,1,,,C.4.2. Provide sufficient information on how researchers can interact with the service before researchers access the environment.,
Computing technology and Information Security,2.3.3.,You must have a procedure for allocating available resources among projects.,"For cloud-based TREs this may involve scaling resources, such as virtual machines or databases, or deploying additional resources.
For on-premises TREs this may involve a procurement process to ensure that necessary resources are available.
Not all requests for capacity increase must necessarily be granted, but having a clear process will help projects understand when/why/how they can make use of additional capacity.",Mandatory,1,,,,
Computing technology and Information Security,2.3.4.,You must ensure that the anticipated resource requirements will not result in overspending by the TRE.,"For cloud-based TREs this may involve budgeting and/or restricting resource consumption on a project-by-project basis.
For on-premises TREs this may involve managing expectations to match the available resource.",Mandatory,1,,,,
Computing technology and Information Security,2.4.1.,You must have a documented procedure for configuring infrastructure.,"This might, for instance, be a handbook that is followed or a set of automated scripts.",Mandatory,2,"A5.37: Documented operating procedures. Operating procedures for information processing facilities shall be documented and made available to personnel who need them. 
","I-2: A secure baseline configuration has been defined, documented, and applied to all devices, applications, servers and mobile platforms. Documentation outlining any baseline configurations.",,
Computing technology and Information Security,2.4.2.,You should use configuration management tools to automate application of your configuration wherever possible.,"This might involve configuration-as-code tools such as Ansible, Chef, Puppet or Windows Desired State Configuration or simply automated scripts.",Recommended,0,,,,
Computing technology and Information Security,2.4.3.,You should be able to verify whether the configuration is valid.,"This might, for instance, involve running your configuration management tool in ‘check’ mode.",Recommended,0,,,,
Computing technology and Information Security,2.4.4.,You should regularly verify your TRE configuration.,This will limit the amount of time the TRE can spend in a non-compliant state.,Recommended,0,,,,
Computing technology and Information Security,2.4.5.,You must be able to replace a non-compliant TRE with a compliant system.,This might involve reconfiguring a running system or by replacing it with a compliant one.,Mandatory,2,,,,
Computing technology and Information Security,2.5.1.,"You should keep backups of data and research environments, provided that this is permitted by law.","Keeping backups could help reduce the impact of events like accidental deletion and data corruption on work in a TRE.
TRE developers may want to consider how different elements such as sensitive input data or users’ workspaces may be backed up, and whether they should be.",Recommended,2,"A8.13: Information backup. Backup copies of information, software and systems shall be maintained and regularly tested in accordance with the agreed topic-specific policy on backup.","I-4: Key systems, applications and data are backed up to protect against loss of data. Documented backups procedure or process. Evidence that back up restoration has been tested. ",,
Computing technology and Information Security,2.5.2.,You should build redundancy into infrastructure and storage.,"Infrastructure should be as resilient as necessary to interruption.
This could include redundant infrastructure in different physical locations, load balancing and replication of data between multiple storage locations.",Recommended,2,A8.14: Redundancy of information processing facilities. Information processing facilities shall be implemented with redundancy sufficient to meet availability requirements.,,,
Computing technology and Information Security,2.5.3.,"You should keep backups of infrastructure, applications and configurations.",This may include virtualised infrastructure snapshots which can restored as needed to recover from failure.,Recommended,2,"A8.13: Information backup. Backup copies of information, software and systems shall be maintained and regularly tested in accordance with the agreed topic-specific policy on backup.",,,
Computing technology and Information Security,2.5.4.,You must have procedures in place for rapid incident response.,"There may be legal requirements to disclose details of any incidents, such as data breaches for organisations subject to GDPR.
Having robust processes in place will ensure a swift and effective response when an incident occurs.",Mandatory,2,"A6.8: Information security event reporting. The organization shall provide a mechanism for personnel to report observed or suspected information security events through appropriate channels in a timely manner.

A5.24: Information security incident management planning and preparation. The organization shall plan and prepare for managing information security incidents by defining, establishing and communicating information security incident management processes, roles and responsibilities.

A5.25: Assessment and decision on information security events. The organization shall assess information security events and decide if they are to be categorized as information security incidents.

A5.26:Response to information security incidents. Information security incidents shall be responded to in accordance with the documented procedures.

A5.27:Learning from information security incidents. Knowledge gained from information security incidents shall be used to strengthen and improve the information security controls.

A5.28: Collection of evidence. The organization shall establish and implement procedures for the identification, collection, acquisition and preservation of evidence related to information security events.

A5.29: Information security during disruption. The organization shall plan how to maintain information security at an appropriate level during disruption.

A5.30: ICT readiness for business continuity. ICT readiness shall be planned, implemented, maintained and tested based on business continuity objectives and ICT continuity requirements.","M-1: Management and operational responsibilities are established and documented to ensure an efficient and effective response to information security incidents. Evidence of assigned responsibilities. 

M-2: There are effective processes in place to ensure that information security incidents are internally reported, assessed, classified, managed, recorded, and analysed as quickly as possible. Evidence the organisation has established incident management procedures, including communication and reporting that is endorsed by responsible management. 

M-3: Near misses and security events are recorded and assessed alongside full incidents. Incident log including near misses or events.

M-4: Analysis and resolution of security incidents is used to reduce the likelihood or impact of future incidents. Records of lessons learned analysis. 

N-1: There are business continuity and disaster recovery plans in place. Copies of BC and DR plans.

N-2: The plans are tested on a periodic basis to ensure they remain up to date and fit for purpose, with tests being analysed afterwards for lessons learned. Evidence of tests being planned and carried out. Minutes of relevant discussions. Analysis and report documents. 

N-3: Business continuity and disaster recovery plans are communicated / made available to staff. Copies of staff communications and guidance. 

N-4: Where cloud infrastructure is in use, the organisation has documented consideration of fail over processes for data centre failure, and has considered the geography of where the data may reside in the event of an outage. Evidence of consideration, evidence of planned fail over locations. ",,
